road,id,model_type,name,lat,lon,length
N1,1000621,link,link 311,21.940583,92.0643889,615
N1,1000622,bridge,bridge 311,21.9354441,92.0623056,252
N1,1000623,link,link 312,21.93440245,92.06186115,10
N1,1000624,bridge,bridge 312,21.9333608,92.0614167,156
N1,1000625,link,link 313,21.9322216,92.06075,78
N1,1000626,bridge,bridge 313,21.931666,92.0603611,264
N1,1000627,link,link 314,21.9306382,92.05981944999999,10
N1,1000628,bridge,bridge 314,21.9296104,92.0592778,672
N1,1000629,link,link 315,21.9235827,92.0585,585
N1,1000630,bridge,bridge 315,21.9177216,92.0597778,302
N1,1000631,link,link 316,21.916902450000002,92.05995835,10
N1,1000632,bridge,bridge 316,21.9160833,92.0601389,146
N1,1000633,link,link 317,21.9148333,92.0604722,223
N1,1000634,bridge,bridge 317,21.9128611,92.0606667,510
N1,1000635,link,link 318,21.910625,92.06059725,10
N1,1000636,bridge,bridge 318,21.9083889,92.0605278,270
N1,1000637,link,link 319,21.9059444,92.0609167,1596
N1,1000638,bridge,bridge 319,21.8908886,92.0596667,281
N1,1000639,link,link 320,21.8883886,92.0600833,833
N1,1000640,bridge,bridge 320,21.8810271,92.0589722,178
N1,1000641,link,link 321,21.879416,92.0590833,508
N1,1000642,bridge,bridge 321,21.874916,92.0591111,500
N1,1000643,link,link 322,21.8704993,92.0591389,906
N1,1000644,bridge,bridge 322,21.8625,92.0595,93
N1,1000645,link,link 323,21.8616389,92.0596111,221
N1,1000646,bridge,bridge 323,21.8597222,92.0602778,783
N1,1000647,link,link 324,21.85275,92.0609722,21
N1,1000648,bridge,bridge 324,21.8526111,92.0609722,228
N1,1000649,link,link 325,21.85155555,92.0609583,10
N1,1000650,bridge,bridge 325,21.8505,92.0609444,764
N1,1000651,link,link 326,21.8441386,92.0628056,213
N1,1000652,bridge,bridge 326,21.842583,92.0638611,322
N1,1000653,link,link 327,21.84127745,92.0645,10
N1,1000654,bridge,bridge 327,21.8399719,92.0651389,482
N1,1000655,link,link 328,21.8363052,92.067416,313
N1,1000656,bridge,bridge 328,21.8336663,92.0684438,170
N1,1000657,link,link 329,21.8322216,92.0689993,776
N1,1000658,bridge,bridge 329,21.8256938,92.0723882,564
N1,1000659,link,link 330,21.823290999999998,92.0732493,10
N1,1000660,bridge,bridge 330,21.8208882,92.0741104,149
N1,1000661,link,link 331,21.8195271,92.0741382,180
N1,1000662,bridge,bridge 331,21.8179716,92.073916,831
N1,1000663,link,link 332,21.8119444,92.0776382,1000
N1,1000664,bridge,bridge 332,21.8031389,92.0772493,25
N1,1000665,link,link 333,21.8029167,92.0772771,1767
N1,1000666,bridge,bridge 333,21.7873886,92.0788882,100
N1,1000667,link,link 334,21.78694415,92.07895765,10
N1,1000668,bridge,bridge 334,21.7864997,92.0790271,137
N1,1000669,link,link 335,21.7853052,92.079166,180
N1,1000670,bridge,bridge 335,21.7836941,92.0792771,819
N1,1000671,link,link 336,21.7782493,92.0840552,79
N1,1000672,bridge,bridge 336,21.7776382,92.0843886,224
N1,1000673,link,link 337,21.776721549999998,92.0847497,10
N1,1000674,bridge,bridge 337,21.7758049,92.0851108,195
N1,1000675,link,link 338,21.7737216,92.0840552,134
N1,1000676,bridge,bridge 338,21.7732771,92.0837219,293
N1,1000677,link,link 339,21.7713049,92.0818327,24
N1,1000678,bridge,bridge 339,21.7711938,92.0816382,739
N1,1000679,link,link 340,21.7664722,92.0767771,3231
N1,1000680,bridge,bridge 340,21.7392497,92.0828604,140
N1,1000681,link,link 341,21.738083,92.0834163,50
N1,1000682,bridge,bridge 341,21.7376386,92.0834719,680
N1,1000683,link,link 342,21.73461065,92.08363855,10
N1,1000684,bridge,bridge 342,21.7315827,92.0838052,181
N1,1000685,link,link 343,21.730791,92.0838191,10
N1,1000686,bridge,bridge 343,21.7299993,92.083833,108
N1,1000687,link,link 344,21.7290271,92.0838608,688
N1,1000688,bridge,bridge 344,21.7229438,92.0834719,163
N1,1000689,link,link 345,21.7215549,92.0830827,567
N1,1000690,bridge,bridge 345,21.7169438,92.0824993,612
N1,1000691,link,link 346,21.7120833,92.0821104,526
N1,1000692,bridge,bridge 346,21.7080278,92.0800549,489
N1,1000693,link,link 347,21.7040556,92.0788604,310
N1,1000694,bridge,bridge 347,21.7013611,92.0783882,697
N1,1000695,link,link 348,21.6957497,92.0805827,2429
N1,1000696,bridge,bridge 348,21.6747493,92.0766104,484
N1,1000697,link,link 349,21.67259655,92.07644375000001,10
N1,1000698,bridge,bridge 349,21.6704438,92.0762771,34
N1,1000699,link,link 350,21.6695549,92.0760549,861
N1,1000700,bridge,bridge 350,21.6618889,92.074916,143
N1,1000701,link,link 351,21.6606111,92.0750827,175
N1,1000702,bridge,bridge 351,21.6590556,92.0751382,839
N1,1000703,link,link 352,21.6518056,92.0737771,237
N1,1000704,bridge,bridge 352,21.6497219,92.0733049,79
