road,lat,lon,model_type,road_to,condition,length,id,name
N1,23.2344997,91.3131667,bridge,,A,20,1000186,bridge 90
N1,23.2343052,91.3131667,link,,,335,1000187,link 94
N1,23.2314993,91.3132222,bridge,,A,447,1000188,bridge 91
N1,23.2295271,91.313375,link,,,447,1000189,link 95
N1,23.2275549,91.3135278,bridge,,B,237,1000190,bridge 92
N1,23.2253882,91.3135833,link,,,1015,1000191,link 96
N1,23.2184993,91.3143889,bridge,,A,222,1000192,bridge 93
N1,23.2165556,91.3149167,link,,,939,1000193,link 97
N1,23.2103056,91.3157222,bridge,,A,282,1000194,bridge 94
N1,23.2078889,91.3159722,link,,,1053,1000195,link 98
N1,23.201,91.3168049,bridge,,C,228,1000196,bridge 95
N1,23.1990274,91.3170549,link,,,1093,1000197,link 99
N1,23.1921108,91.3185549,bridge,,B,135,1000198,bridge 96
N1,23.1909997,91.3192493,link,,,658,1000199,link 100
N1,23.1866941,91.3212493,bridge,,B,477,1000200,bridge 97
N1,23.1826382,91.3210827,link,,,1090,1000201,link 101
N1,23.1773604,91.3198049,bridge,,A,515,1000202,bridge 98
N1,23.172916,91.3205271,link,,,1061,1000203,link 102
N1,23.1681382,91.3213604,bridge,,B,453,1000204,bridge 99
N1,23.1641389,91.3214993,link,,,1245,1000205,link 103
N1,23.1571667,91.3224993,bridge,,B,207,1000206,bridge 100
N1,23.1554167,91.3232771,link,,,1108,1000207,link 104
N1,23.1480274,91.3264993,bridge,,A,99,1000208,bridge 101
N1,23.1471663,91.3266938,link,,,520,1000209,link 105
N1,23.1433886,91.326666,bridge,,B,579,1000210,bridge 102
N1,23.1382219,91.3263049,link,,,681,1000211,link 106
N1,23.1374163,91.3264716,bridge,,B,897,1000212,bridge 103
N1,23.1295827,91.3284993,link,,,967,1000213,link 107
N1,23.1290827,91.3287216,bridge,,B,675,1000214,bridge 104
N1,23.126291,91.3299299,link,,,675,1000215,link 108
N1,23.1234993,91.3311382,bridge,,C,254,1000216,bridge 105
N1,23.1213327,91.3320549,link,,,502,1000217,link 109
N1,23.1193049,91.3329993,bridge,,A,27,1000218,bridge 106
N1,23.1191382,91.3330827,link,,,1103,1000219,link 110
N1,23.1108056,91.3381386,bridge,,A,719,1000220,bridge 107
N1,23.10795835,91.3397497,link,,,719,1000221,link 111
N1,23.1051111,91.3413608,bridge,,C,204,1000222,bridge 108
N1,23.1035,91.3422497,link,,,572,1000223,link 112
N1,23.1005833,91.3437774,bridge,,A,550,1000224,bridge 109
N1,23.0983887,91.3449441,link,,,550,1000225,link 113
N1,23.0961941,91.3461108,bridge,,B,81,1000226,bridge 110
N1,23.095583,91.3464441,link,,,770,1000227,link 114
