road,lat,lon,model_type,length,condition,id,name
N1,23.3347219,91.271166,link,1441,,1000170,link 75
N1,23.324166,91.2791104,bridge,927,B,1000171,bridge 96
N1,23.3171382,91.2836941,link,269,,1000172,link 76
N1,23.3149444,91.2844719,bridge,617,A,1000173,bridge 97
N1,23.31229165,91.28530525,link,10,,1000174,link 77
N1,23.3096389,91.2861386,bridge,112,A,1000175,bridge 98
N1,23.3086944,91.2864163,link,546,,1000176,link 78
N1,23.30425,91.288583,bridge,453,A,1000177,bridge 99
N1,23.3006111,91.290333,link,518,,1000178,link 79
N1,23.296083,91.2914997,bridge,481,B,1000179,bridge 100
N1,23.2919163,91.2922219,link,501,,1000180,link 80
N1,23.2876663,91.2936386,bridge,498,B,1000181,bridge 101
N1,23.283583,91.2952219,link,774,,1000182,link 81
N1,23.2787216,91.3002778,bridge,225,A,1000183,bridge 102
N1,23.2768882,91.3011944,link,1115,,1000184,link 82
N1,23.2677493,91.3054722,bridge,277,B,1000185,bridge 103
N1,23.26659685,91.3059583,link,10,,1000186,link 83
N1,23.2654444,91.3064444,bridge,202,A,1000187,bridge 104
N1,23.26455555,91.3065972,link,10,,1000188,link 84
N1,23.2636667,91.30675,bridge,404,A,1000189,bridge 105
N1,23.2601111,91.3072778,link,155,,1000190,link 85
N1,23.2587222,91.3074444,bridge,844,B,1000191,bridge 106
N1,23.2511944,91.3086389,link,173,,1000192,link 86
N1,23.249833,91.3091944,bridge,186,A,1000193,bridge 107
N1,23.249083,91.3095,link,10,,1000194,link 87
N1,23.248333,91.3098056,bridge,369,B,1000195,bridge 108
N1,23.246805199999997,91.3104306,link,10,,1000196,link 88
N1,23.2452774,91.3110556,bridge,270,A,1000197,bridge 109
N1,23.243083,91.3119167,link,162,,1000198,link 89
N1,23.2416941,91.3123611,bridge,816,B,1000199,bridge 110
N1,23.238096900000002,91.3127639,link,10,,1000200,link 90
N1,23.2344997,91.3131667,bridge,20,A,1000201,bridge 111
N1,23.2343052,91.3131667,link,314,,1000202,link 91
N1,23.2314993,91.3132222,bridge,447,C,1000203,bridge 112
N1,23.2295271,91.31337500000001,link,10,,1000204,link 92
N1,23.2275549,91.3135278,bridge,237,B,1000205,bridge 113
N1,23.2253882,91.3135833,link,777,,1000206,link 93
N1,23.2184993,91.3143889,bridge,222,C,1000207,bridge 114
N1,23.2165556,91.3149167,link,717,,1000208,link 94
N1,23.2103056,91.3157222,bridge,282,A,1000209,bridge 115
N1,23.2078889,91.3159722,link,771,,1000210,link 95
N1,23.201,91.3168049,bridge,228,C,1000211,bridge 116
N1,23.1990274,91.3170549,link,864,,1000212,link 96
N1,23.1921108,91.3185549,bridge,135,B,1000213,bridge 117
N1,23.1909997,91.3192493,link,522,,1000214,link 97
N1,23.1866941,91.3212493,bridge,477,B,1000215,bridge 118
N1,23.1826382,91.3210827,link,613,,1000216,link 98
N1,23.1773604,91.3198049,bridge,515,A,1000217,bridge 119
N1,23.172916,91.3205271,link,546,,1000218,link 99
N1,23.1681382,91.3213604,bridge,453,B,1000219,bridge 120
N1,23.1641389,91.3214993,link,792,,1000220,link 100
N1,23.1571667,91.3224993,bridge,207,B,1000221,bridge 121
N1,23.1554167,91.3232771,link,900,,1000222,link 101
N1,23.1480274,91.3264993,bridge,99,C,1000223,bridge 122
N1,23.1471663,91.3266938,link,420,,1000224,link 102
N1,23.1433886,91.326666,bridge,579,B,1000225,bridge 123
N1,23.1382219,91.3263049,link,102,,1000226,link 103
N1,23.1374163,91.3264716,bridge,897,B,1000227,bridge 124
N1,23.1295827,91.3284993,link,69,,1000228,link 104
N1,23.1290827,91.3287216,bridge,675,B,1000229,bridge 125
N1,23.126291000000002,91.3299299,link,10,,1000230,link 105
N1,23.1234993,91.3311382,bridge,254,A,1000231,bridge 126
N1,23.1213327,91.3320549,link,247,,1000232,link 106
N1,23.1193049,91.3329993,bridge,27,A,1000233,bridge 127
N1,23.1191382,91.3330827,link,1075,,1000234,link 107
N1,23.1108056,91.3381386,bridge,719,A,1000235,bridge 128
N1,23.107958349999997,91.3397497,link,10,,1000236,link 108
N1,23.1051111,91.3413608,bridge,204,A,1000237,bridge 129
N1,23.1035,91.3422497,link,367,,1000238,link 109
N1,23.1005833,91.3437774,bridge,550,A,1000239,bridge 130
N1,23.0983887,91.34494409999999,link,10,,1000240,link 110
N1,23.0961941,91.3461108,bridge,81,B,1000241,bridge 131
N1,23.095583,91.3464441,link,688,,1000242,link 111
N1,23.0901108,91.3494163,bridge,311,B,1000243,bridge 132
N1,23.0876108,91.3508889,link,344,,1000244,link 112
N1,23.0849719,91.3524722,bridge,527,A,1000245,bridge 133
N1,23.0828884,91.35366665,link,10,,1000246,link 113
N1,23.0808049,91.3548611,bridge,210,A,1000247,bridge 134
N1,23.0792493,91.3558333,link,765,,1000248,link 114
N1,23.0732493,91.3594167,bridge,234,B,1000249,bridge 135
N1,23.0712493,91.3599722,link,885,,1000250,link 115
N1,23.0636944,91.3616389,bridge,18,A,1000251,bridge 136
N1,23.0635278,91.3616389,link,2328,,1000252,link 116
N1,23.0427774,91.3654444,bridge,336,A,1000253,bridge 137
N1,23.0398052,91.3656111,link,1203,,1000254,link 117
N1,23.029416,91.3656389,bridge,287,A,1000255,bridge 138
N1,23.0269716,91.3655,link,1151,,1000256,link 118
N1,23.0185271,91.3708327,bridge,723,A,1000257,bridge 139
N1,23.016305199999998,91.37340215,link,10,,1000258,link 119
N1,23.0140833,91.3759716,bridge,125,A,1000259,bridge 140
N1,23.0132778,91.3769438,link,3106,,1000260,link 120
N1,22.9961941,91.4005,bridge,939,C,1000261,bridge 141
N1,22.9906941,91.4072222,link,4830,,1000262,link 121
N1,22.9624167,91.4416941,bridge,219,A,1000263,bridge 142
N1,22.9611667,91.4433886,link,6350,,1000264,link 122
N1,22.9496663,91.5007778,bridge,719,A,1000265,bridge 143
N1,22.9482774,91.50725,link,4134,,1000266,link 123
N1,22.949,91.508,sink,1,,1000267,sink
